Ticker,Name,Exchange,categoryName,categoryNr
FRI.AX,Finbar Group Limited,ASX,Real Estate Development,449
719880.TWO,YUANTA SECURITIES C/W 15/03/16(,TWO,None,0
719691.TWO,YUANTA SECURITIES C/W 07/03/16(,TWO,None,0
1052-OL.HK,YUEXIUTRANSPORT,HKG,None,0
NVMI.TA,Nova Measuring Instruments Ltd.,TLV,None,0
QSC.BE,QSC N,BER,Wireless Communications,840
IZO.SG,JD GROUP,STU,None,0
NSRPF,Novo Resources Corp.,PNK,None,0
S63.SI,Singapore Technologies Engineering Ltd,SES,Aerospace/Defense - Major Diversified,610
KIRLFER.BO,Kirloskar Ferrous Industries Limited,BSE,Metal Fabrication,626
GZL-O.CR,GPO. ZULIANO,CCS,None,0
RYGYO.IS,Reysas Gayrimenkul Yatirim Ortakligi A.S.,IST,None,0
717217.TWO,YUANTA SECURITIES C/W 03/08/15(,TWO,None,0
WSON11.SA,None,None,None,0
AMZN.MX,"Amazon.com, Inc.",MEX,"Specialty Retail, Other",745
ARPNF,ASTRO JAPAN PROPERTY,PNK,None,0
MBFIP,MB Financial Inc.,NMS,None,0
SPRP.L,Sprue Aegis PLC,LSE,Security & Protection Services,765
91A.F,ARMSTRONG WORLD IND,FRA,General Building Materials,634
JUVF.OB,None,OBB,None,0
BCYP,"Blue Calypso, Inc.",OBB,Marketing Services,721
ONTEX.BR,Ontex Group N.V.,BRU,Personal Products,323
DYU-H.V,Dawson Gold Corp.,VAN,Industrial Metals & Minerals,133
NBG-PA,National Bank of Greece SA Spon,NYQ,None,0
E8X.DE,elexxion AG,GER,Medical Appliances & Equipment,521
CHSTY,"China High Speed Transmission Equipment Group Co., Ltd.",PNK,None,0
JML.V,JAG Mines Ltd.,VAN,Conglomerates,210
1280.HK,"Huiyin Smart Community Co., Ltd.",HKG,"Specialty Retail, Other",745
VNTV,"Vantiv, Inc.",NYQ,Business Services,760
FNMSF,FNM SPA,PNK,None,0
YTMSG1.AX,THETAASSET ACBCSGP20,ASX,None,0
ASUZU.IS,Anadolu Isuzu Otomotiv Sanayi ve Ticaret AS,IST,None,0
VESTF,"Vestiage, Inc.",PNK,None,0
XONA.MU,EXXON MOBIL,MUN,Major Integrated Oil & Gas,120
VNTH,"Nano Mobile Healthcare, Inc.",PNK,Conglomerates,210
VNTI,"Vantone International Group, Inc.",PNK,None,0
BNRPF,Bionor Pharma ASA,PNK,None,0
NAMN.TA,Naaman Group (N.V.) Ltd,TLV,None,0
ZYDUSWELL.BO,Zydus Wellness Limited,BSE,Personal Products,323
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",NGM,"Discount, Variety Stores",732
51FL.L,S.C. Electrica S.A.,LSE,None,0
FLYLF,FLYHT Aerospace Solutions Ltd.,PNK,None,0
XBTCQ,Xhibit Corp.,PNK,None,0
3966.HK,MASTERCRAFT I,HKG,None,0
FJP,First Trust Japan AlphaDEX ETF,NGM,None,0
YAK.V,Mongolia Growth Group Ltd.,VAN,Property Management,448
BRRAF,Barloworld Ltd.,PNK,None,0
ARTT,"Artemis Energy Holdings, Inc.",PNK,None,0
ARTW,Art's-Way Manufacturing Co. Inc.,NCM,Farm & Construction Machinery,620
KTOS,"Kratos Defense & Security Solutions, Inc.",NMS,Security & Protection Services,765
ARTX,Arotech Corporation,NGM,Industrial Electrical Equipment,627
CFSU,Complete Financial Solutions Inc.,PNK,None,0
OPG.AX,OPUS Group Limited,ASX,Publishing - Newspapers,727
QIG.BE,SIG,BER,Industrial Equipment Wholesale,752
BRRAY,Barloworld Ltd.,PNK,None,0
GPKUF,Grand Peak Capital Corp.,PNK,None,0
TDCH,"30DC, Inc.",PNK,None,0
SEFA.TA,Shefa Yamim Ltd.,TLV,None,0
LOUIF,LOUIS XIII,PNK,None,0
NISOF,NIPRO CORPORATION,PNK,None,0
RLI,RLI Corp.,NYQ,Property & Casualty Insurance,432
RLH,Red Lion Hotels Corporation,NYQ,Lodging,710
RLJ,RLJ Lodging Trust,NYQ,REIT - Hotel/Motel,443
RLD,RealD Inc.,NYQ,"Movie Production, Theaters",726
EYE-A.V,"Eyelogic Systems, Inc.",VAN,Computers Wholesale,755
SPG,Simon Property Group Inc.,NYQ,REIT - Retail,446
XAG.V,Xtierra Inc.,VAN,Industrial Metals & Minerals,133
720083.TWO,YUANTA SECURITIES C/W 28/03/16(,TWO,None,0
ABAC,"Aoxin Tianli Group, Inc.",NCM,Farm Products,341
9TO.F,TOYOTA TSUSHO,FRA,Steel & Iron,130
DGDCF,Dynasty Gold Corp.,PNK,None,0
XBTCE,None,OBB,None,0
COHG,Cheetah Oil & Gas Ltd.,PNK,None,0
XCY.F,OPKO HEALTH,FRA,None,0
ABAT,"Advanced Battery Technologies, Inc.",PNK,Industrial Electrical Equipment,627
COHR,Coherent Inc.,NMS,Scientific & Technical Instruments,837
ABAX,"Abaxis, Inc.",NMS,Medical Laboratories & Research,525
COHU,"Cohu, Inc.",NMS,Semiconductor Equipment & Materials,834
LF,LeapFrog Enterprises Inc.,NYQ,Multimedia & Graphics Software,820
LG,"The Laclede Group, Inc.",NYQ,Gas Utilities,912
LE,"Lands' End, Inc.",NCM,Catalog & Mail Order Houses,739
LB,"L Brands, Inc.",NYQ,Apparel Stores,730
LC,LendingClub Corporation,NYQ,None,0
J8D.F,DEHAIER MED SYS,FRA,Medical Appliances & Equipment,521
LL,"Lumber Liquidators Holdings, Inc.",NYQ,Home Improvement Stores,736
LM,Legg Mason Inc.,NYQ,Asset Management,422
LH,Laboratory Corp. of America Holdings,NYQ,Medical Laboratories & Research,525
MPLU3F.SA,MULTIPLUS   ON      NM,SAO,None,0
LRESF,ALX Uranium Corp.,PNK,None,0
LQ,La Quinta Holdings Inc.,NYQ,Resorts & Casinos,711
OCV1.F,TEARLAB,FRA,None,0
TCG.L,Thomas Cook Group plc,LSE,"Recreational Goods, Other",317
VZRTF,Vizrt Ltd.,PNK,None,0
NMOS.ME,BANK OTKRIT FIN,MCX,None,0
HEAT,SmartHeat Inc.,PNK,Industrial Equipment & Components,621
HEAR,Turtle Beach Corporation,NGM,Communication Equipment,841
KW2.SG,K. WAH INTL HLDGS,STU,Real Estate Development,449
CFO,Compass EMP Funds Trust - Compass EMP U.S. 500 Enhanced Volatility Weighted Fund,NGM,None,0
CFI,"Culp, Inc.",NYQ,Textile Industrial,628
CFG,"Citizens Financial Group, Inc.",NYQ,None,0
CFD,Nuveen Diversified Commodity Fund,ASE,None,0
4XN.BE,XUNLEI SP ADS-A,BER,None,0
CFA,Compass EMP Funds Trust - Compass EMP U.S. 500 Volatility Weighted Fund,NGM,None,0
CFX,Colfax Corporation,NYQ,Diversified Machinery,622
OGSA3F.SA,NOVA OLEO   ON,SAO,None,0
CFR,"Cullen/Frost Bankers, Inc.",NYQ,Regional - Southwest  Banks,415
CFP,Cornerstone Progressive Return Fund,ASE,None,0
WUYIF,WUYI INTL PHARMACEUT,PNK,None,0
0707.HK,Co-Prosperity Holdings Limited,HKG,Textile Industrial,628
ISL-UN.TO,VOYA FLOATING RATE SR LOAN FUND,TOR,None,0
PCFT.L,Polar Capital Global Financials Ord,LSE,None,0
LGBFORGE.NS,LGB Forge Ltd.,NSI,Industrial Equipment Wholesale,752
VO7.F,VOR RLT TR REIT-SBI,FRA,None,0
OAG.V,OREMEX SILVER INC,VAN,None,0
HGHAF,High Arctic Energy Services Inc,PNK,None,0
HYLS,First Trust Tactical High Yield ETF,NGM,None,0
UD2.SI,Japfa Ltd.,SES,Farm Products,341
VFL.A,None,ASE,None,0
MCBC,Macatawa Bank Corp.,NMS,Regional - Midwest Banks,414
RCBC,River City Bank,PNK,None,0
JNP,"Juniper Pharmaceuticals, Inc.",NMS,Drugs - Generic,512
6451.TWO,SHUNSIN TECHNOLOGY TWD10,TWO,None,0
AWM.DE,Skyworks Solutions Inc.,GER,Semiconductor - Broad Line,830
ORL.TO,Orocobre Limited,TOR,Copper,131
TRX.SG,TERREX Handels-Aktiengesellschaft,STU,None,0
038060.KQ,"Lumens Co., Ltd.",KOE,None,0
ORL.TA,Oil Refineries Ltd.,TLV,None,0
ZDLA,None,PNK,None,0
NBCC.BO,NATIONAL BUILDINGS CONSTRUCTIO,BSE,None,0
FRE.AX,Freshtel Holdings Limited,ASX,Wireless Communications,840
1083.HK,Towngas China Company Limited,HKG,Gas Utilities,912
SZ2.SG,SIGNET JEWELERS,STU,Jewelry Stores,742
UFMO.ME,UFA ENGINE IND,MCX,None,0
NCOM,National Commerce Corporation,NMS,Regional - Southeast Banks,413
PKBK,Parke Bancorp Inc.,NCM,Regional - Northeast Banks,411
OOA.L,Octopus AIM VCT PLC,LSE,Asset Management,422
YE5.MU,ENERGIZER RES,MUN,Industrial Metals & Minerals,133
JNOS.ME,JSC Slavneft-YANOS,MCX,None,0
W1D.SG,WILDHORSE,STU,None,0
YM2A.F,CODE AGRICUL,FRA,None,0
BLJZY,Berli Jucker Public Co. Ltd.,PNK,None,0
MQ.ST,MQ Holding AB,STO,Apparel Stores,730
THPFF,Thai President Foods Public Company Limited,PNK,None,0
5201.KL,OldTown Berhad,KLS,None,0
PZS.DE,Scherzer & Co. AG,GER,Conglomerates,210
PAYX,"Paychex, Inc.",NMS,Staffing & Outsourcing Services,764
XPD.AX,XPD Soccer Gear Group Limited,ASX,"Recreational Goods, Other",317
SLCT,"Select Bancorp, Inc.",NGM,Regional - Mid-Atlantic Banks,412
IWQ.MU,51 JOBS SP ADR,MUN,Staffing & Outsourcing Services,764
SLI.L,Standard Life Investments Property Income Trust Ltd.,LSE,REIT - Diversified,440
ZCILY,ZCI Limited,PNK,None,0
TRTLW,Terrapin 3 Acquisition Corporat,NCM,None,0
SLCA,"U.S. Silica Holdings, Inc.",NYQ,Industrial Metals & Minerals,133
TRTLU,Terrapin 3 Acquisition Corporat,NCM,None,0
FOG.L,Falcon Oil & Gas Ltd.,LSE,Independent Oil & Gas,121
SLCH,"Spotlight Capital Holdings, Inc.",PNK,None,0
PAYC,"Paycom Software, Inc.",NYQ,Application Software,821
YIPI,"Yippy, Inc.",PNK,None,0
SLCO,"Sovereign Lithium, Inc.",PNK,None,0
PTOO,"Raadr, Inc.",None,None,0
PTOI,"Plastic2Oil, Inc.",PNK,None,0
PTOG,"Petrotech Oil and Gas, Inc.",PNK,None,0
WRTKRT-A.A,None,None,None,0
ADRD,BLDRS Index Funds Trust - BLDRS Developed Markets 100 ADR Index Fund,NGM,None,0
WPC.SG,ZEAG ENERGIE,STU,None,0
LGCD.IL,LG CHEM SP GDR-144A,IOB,None,0
THYOF,Tethys Oil AB (publ),PNK,None,0
LAND,Gladstone Land Corporation,NGM,REIT - Diversified,440
LANC,Lancaster Colony Corporation,NMS,Food - Major Diversified,340
0538.HK,Ajisen China Holdings Ltd.,HKG,Restaurants,712
ULC.DE,UNITEDLABELS Aktiengesellschaft,GER,Apparel Stores,730
USA.AX,Uraniumsa Limited,ASX,Industrial Metals & Minerals,133
LANZ,"Lancer Orthodontics, Inc.",PNK,None,0
S3X.DU,SUMCO,DUS,Semiconductor Equipment & Materials,834
XTP.MU,SINO,MUN,None,0
TRARF,Teras Resources Inc.,PNK,None,0
SPAN,Span-America Medical Systems Inc.,NGM,Medical Appliances & Equipment,521
SOCB,Southcoast Financial Corp.,NGM,Regional - Southeast Banks,413
DNKN,"Dunkin' Brands Group, Inc.",NMS,Restaurants,712
SPAR,Spartan Motors Inc.,NMS,Trucks & Other Vehicles,331
0183.HK,WINFULL GP,HKG,None,0
4958.TW,Zhen Ding Technology Holding Limited,TAI,None,0
KESORAMIN.NS,Kesoram Industries Ltd.,NSI,Rubber & Plastics,322
PNC-PP,"PNC Financial Services Group, I",NYQ,None,0
HPR.F,HORIZON PHARMA,FRA,None,0
KBXMF,Kobex Capital Corp.,PNK,None,0
BIIB,Biogen Inc.,NMS,Biotechnology,515
KYX.BE,KERYX BIOPHARMACEU ,BER,Biotechnology,515
1718-OL.HK,WAN KEI GROUP,HKG,None,0
